home_location,uk_salary
UK,29000
Asia,15000
UK,25000
UK,24000
Europe (not UK),30000
UK,27000
Europe (not UK),15000
UK,30000
Europe (not UK),25000
Europe (not UK),30000
UK,29000
UK,30000
UK,30000
UK,19000
UK,28000
UK,20000
UK,20000
UK,30000
UK,30000
UK,35000
UK,28000
UK,40000
Europe (not UK),30000
UK,21000
UK,30000
UK,24000
UK,40000
UK,20000
Europe (not UK),16000
UK,26000
UK,25000
UK,30000
UK,25000
UK,27000
UK,28000
UK,25000
UK,30000
UK,30000
UK,50000
UK,35000
UK,23000
UK,35000
Europe (not UK),27000
UK,25000
UK,30000
UK,20000
UK,35000
UK,25000
UK,30000
UK,20000
UK,30000
Europe (not UK),18000
Europe (not UK),18000
UK,26000
UK,30000
Asia,60000
Asia,15000
UK,30000
UK,23000
Europe (not UK),25000
UK,30000
UK,5000
UK,25000
UK,35000
UK,40000
UK,27000
UK,27000
UK,25000
UK,28000
UK,5000
UK,40000
UK,40000
UK,30000
UK,33000
UK,28000
UK,50000
UK,28000
Europe (not UK),30000
UK,28000
UK,30000
UK,40000
UK,28000
Europe (not UK),35000
UK,25000
Europe (not UK),25000
UK,40000
UK,5000
UK,35000
UK,30000
UK,25000
Europe (not UK),24000
UK,40000
UK,35000
UK,35000
Asia,25000
UK,35000
UK,20000
Europe (not UK),22500
UK,35000
UK,25000
UK,25000
Asia,5000
UK,35000
UK,20000
UK,5000
UK,29000
UK,5000
UK,25000
UK,22000
UK,60000
UK,35000
UK,27000
UK,30000
Asia,10000
UK,28000
UK,26000
UK,30000
Asia,9600
UK,25000
Europe (not UK),25000
UK,30000
UK,24000
UK,30000
UK,30000
UK,28000
UK,25000
UK,33000
UK,20000
UK,28000
UK,28000
UK,30000
Asia,35000
UK,25000
UK,20000
UK,30000
Asia,6000
Europe (not UK),30000
Asia,25000
UK,40000
UK,6000
Asia,10000
Europe (not UK),40000
UK,30000
UK,28000
UK,40000
UK,45000
UK,21000
UK,30000
UK,25000
UK,30000
UK,27000
UK,30000
UK,30000
UK,26500
UK,40000
UK,25000
UK,21000
UK,30000
Asia,20000
UK,30000
UK,30000
UK,30000
UK,21000
Asia,6000
UK,30000
UK,25000
UK,30000
UK,25000
UK,50000
UK,20000
UK,18000
UK,25000
UK,30000
UK,26000
UK,29000
UK,30000
UK,30000
Europe (not UK),8000
Asia,18000
UK,25000
UK,20000
UK,34000
Europe (not UK),25000
UK,30000
UK,29000
Europe (not UK),30000
Europe (not UK),25000
Europe (not UK),8000
UK,25000
UK,28000
UK,25000
Europe (not UK),25000
UK,25000
UK,30000
UK,40000
Europe (not UK),10000
UK,40000
Europe (not UK),33000
Europe (not UK),30000
UK,24000
UK,27000
UK,NA
UK,30000
UK,25000
UK,50000
