gamble_gain,gamble_lose,salary_estimate
FALSE,TRUE,29000
TRUE,TRUE,12000
FALSE,FALSE,25000
FALSE,TRUE,27000
FALSE,TRUE,27000
FALSE,FALSE,27000
FALSE,TRUE,14000
TRUE,FALSE,31000
FALSE,TRUE,28000
TRUE,FALSE,30000
FALSE,TRUE,26000
FALSE,TRUE,30000
FALSE,FALSE,32000
TRUE,TRUE,19000
FALSE,FALSE,30000
FALSE,FALSE,18000
FALSE,FALSE,23000
TRUE,TRUE,29000
FALSE,TRUE,33000
FALSE,TRUE,38000
TRUE,FALSE,31000
FALSE,FALSE,43000
TRUE,TRUE,33000
TRUE,TRUE,21000
TRUE,TRUE,28000
FALSE,TRUE,26000
FALSE,TRUE,43000
FALSE,FALSE,21000
TRUE,TRUE,19000
FALSE,FALSE,28000
TRUE,FALSE,24000
FALSE,FALSE,29000
FALSE,TRUE,25000
FALSE,FALSE,30000
TRUE,FALSE,29000
FALSE,TRUE,25000
FALSE,TRUE,29000
FALSE,FALSE,29000
FALSE,FALSE,52000
TRUE,TRUE,36000
FALSE,FALSE,23000
TRUE,TRUE,34000
TRUE,FALSE,25000
FALSE,FALSE,25000
FALSE,TRUE,32000
FALSE,FALSE,20000
TRUE,TRUE,35000
FALSE,TRUE,24000
TRUE,TRUE,28000
TRUE,FALSE,21000
FALSE,FALSE,33000
FALSE,FALSE,20000
FALSE,TRUE,19000
FALSE,TRUE,24000
FALSE,TRUE,32000
FALSE,TRUE,57000
FALSE,FALSE,12000
FALSE,TRUE,32000
FALSE,FALSE,22000
TRUE,TRUE,27000
FALSE,TRUE,27000
FALSE,TRUE,8000
TRUE,TRUE,22000
FALSE,FALSE,35000
FALSE,TRUE,42000
TRUE,TRUE,30000
FALSE,TRUE,25000
FALSE,TRUE,25000
FALSE,FALSE,27000
FALSE,FALSE,5000
TRUE,TRUE,37000
FALSE,TRUE,43000
FALSE,FALSE,33000
FALSE,TRUE,31000
TRUE,FALSE,27000
FALSE,TRUE,52000
TRUE,FALSE,26000
FALSE,TRUE,32000
FALSE,FALSE,26000
FALSE,FALSE,29000
FALSE,FALSE,41000
FALSE,FALSE,31000
TRUE,FALSE,38000
TRUE,TRUE,28000
FALSE,TRUE,24000
FALSE,FALSE,42000
FALSE,TRUE,4000
FALSE,FALSE,34000
FALSE,TRUE,32000
FALSE,TRUE,23000
TRUE,TRUE,27000
FALSE,TRUE,42000
FALSE,FALSE,34000
FALSE,FALSE,32000
FALSE,TRUE,28000
FALSE,TRUE,35000
FALSE,TRUE,22000
TRUE,TRUE,20500
FALSE,TRUE,32000
FALSE,FALSE,22000
FALSE,FALSE,25000
FALSE,FALSE,4000
FALSE,FALSE,34000
FALSE,FALSE,18000
TRUE,TRUE,4000
TRUE,FALSE,28000
TRUE,TRUE,6000
FALSE,TRUE,24000
FALSE,TRUE,22000
FALSE,FALSE,59000
FALSE,TRUE,36000
FALSE,FALSE,30000
FALSE,FALSE,32000
FALSE,TRUE,12000
TRUE,TRUE,29000
FALSE,FALSE,29000
FALSE,FALSE,32000
FALSE,TRUE,6600
FALSE,FALSE,25000
FALSE,TRUE,27000
FALSE,TRUE,28000
FALSE,TRUE,24000
TRUE,TRUE,27000
TRUE,TRUE,29000
FALSE,FALSE,26000
FALSE,FALSE,24000
FALSE,TRUE,33000
FALSE,TRUE,20000
FALSE,FALSE,26000
FALSE,FALSE,25000
TRUE,FALSE,30000
TRUE,TRUE,35000
FALSE,TRUE,24000
FALSE,TRUE,23000
FALSE,FALSE,33000
FALSE,TRUE,5000
FALSE,FALSE,28000
FALSE,FALSE,23000
TRUE,FALSE,41000
TRUE,FALSE,5000
TRUE,TRUE,12000
FALSE,FALSE,41000
TRUE,FALSE,30000
FALSE,FALSE,31000
FALSE,FALSE,40000
FALSE,FALSE,42000
FALSE,TRUE,24000
FALSE,FALSE,31000
FALSE,TRUE,25000
FALSE,TRUE,27000
TRUE,TRUE,25000
FALSE,FALSE,32000
FALSE,TRUE,33000
FALSE,TRUE,23500
FALSE,TRUE,39000
TRUE,TRUE,24000
FALSE,TRUE,23000
FALSE,FALSE,33000
TRUE,TRUE,23000
FALSE,TRUE,29000
FALSE,FALSE,33000
TRUE,TRUE,32000
FALSE,FALSE,19000
TRUE,TRUE,5000
FALSE,TRUE,27000
FALSE,TRUE,23000
FALSE,TRUE,31000
FALSE,FALSE,22000
FALSE,FALSE,50000
FALSE,FALSE,18000
FALSE,TRUE,21000
TRUE,TRUE,22000
FALSE,FALSE,28000
FALSE,TRUE,24000
FALSE,TRUE,26000
TRUE,FALSE,31000
FALSE,FALSE,30000
FALSE,FALSE,9000
TRUE,TRUE,15000
TRUE,TRUE,26000
FALSE,FALSE,17000
FALSE,FALSE,34000
FALSE,FALSE,26000
TRUE,FALSE,33000
FALSE,FALSE,28000
TRUE,FALSE,27000
FALSE,TRUE,24000
FALSE,FALSE,10000
TRUE,TRUE,22000
FALSE,TRUE,28000
FALSE,FALSE,25000
FALSE,FALSE,25000
FALSE,TRUE,22000
TRUE,TRUE,30000
FALSE,FALSE,40000
FALSE,TRUE,9000
FALSE,FALSE,43000
FALSE,FALSE,33000
FALSE,FALSE,29000
FALSE,FALSE,21000
FALSE,FALSE,24000
FALSE,FALSE,33000
FALSE,TRUE,24000
FALSE,TRUE,48000
