estimate,identity,fweight,oweight
1320,Female,1320,NA
1100,Female,1100,NA
393.8,Female,393.8,NA
1430,Female,1430,NA
616,Other,NA,616
352,Female,352,NA
660,Female,660,NA
1650,Female,1650,NA
880,Female,880,NA
462,Female,462,NA
440,Female,440,NA
1540,Female,1540,NA
1100,Female,1100,NA
660,Female,660,NA
715,Female,715,NA
440,Female,440,NA
660,Female,660,NA
330,Female,330,NA
440,Female,440,NA
220,Female,220,NA
880,Other,NA,880
220,Female,220,NA
440,Female,440,NA
1540,Other,NA,1540
880,Female,880,NA
246.4,Other,NA,246.4
440,Female,440,NA
1100,Other,NA,1100
440,Other,NA,440
1320,Female,1320,NA
187,Other,NA,187
330,Female,330,NA
363,Female,363,NA
550,Other,NA,550
330,Female,330,NA
660,Other,NA,660
1100,Other,NA,1100
880,Female,880,NA
660,Female,660,NA
748,Female,748,NA
1540,Female,1540,NA
814,Female,814,NA
660,Female,660,NA
440,Female,440,NA
396,Other,NA,396
550,Female,550,NA
880,Female,880,NA
1320,Female,1320,NA
220,Female,220,NA
440,Female,440,NA
2200,Female,2200,NA
770,Female,770,NA
770,Female,770,NA
1100,Female,1100,NA
1100,Female,1100,NA
616,Female,616,NA
330,Other,NA,330
352,Other,NA,352
440,Other,NA,440
880,Female,880,NA
1100,Female,1100,NA
1100,Female,1100,NA
220,Female,220,NA
715,Female,715,NA
495,Female,495,NA
297,Female,297,NA
396,Female,396,NA
220,Female,220,NA
330,Female,330,NA
396,Other,NA,396
605,Female,605,NA
660,Other,NA,660
1430,Female,1430,NA
495,Female,495,NA
550,Female,550,NA
330,Female,330,NA
1320,Other,NA,1320
770,Female,770,NA
550,Female,550,NA
440,Female,440,NA
880,Female,880,NA
1980,Female,1980,NA
660,Other,NA,660
704,Other,NA,704
1760,Female,1760,NA
440,Female,440,NA
1100,Other,NA,1100
385,Female,385,NA
1100,Female,1100,NA
1628,Female,1628,NA
396,Female,396,NA
880,Female,880,NA
264,Female,264,NA
330,Female,330,NA
