home_location,conv_skills,music_swift,music_beyonce,music_sheeran,music_drake,music_coldplay,music_linkin,music_nirvana,music_rhcp
UK,A little above the average,3,4,4,3,3,NA,2,3
Asia,A little below average,3,3,5,NA,5,4,5,5
UK,Average,2,NA,4,2,4,NA,NA,NA
UK,Average,5,2,1,1,3,NA,2,NA
Europe (not UK),Average,5,NA,5,1,4,NA,3,5
UK,Average,5,3,3,1,4,NA,NA,NA
Europe (not UK),A little below average,2,5,4,5,3,4,2,NA
UK,Average,4,3,5,1,1,NA,NA,NA
Europe (not UK),A little above the average,3,3,3,4,2,1,1,NA
Europe (not UK),Well above average,2,3,4,4,2,NA,NA,NA
UK,A little below average,5,5,5,2,2,NA,NA,NA
UK,A little above the average,5,4,4,3,4,NA,NA,NA
UK,Average,3,2,2,1,4,1,1,1
UK,A little below average,4,3,5,1,5,NA,NA,NA
UK,Well above average,3,5,4,5,4,NA,NA,3
UK,A little above the average,2,NA,3,2,3,NA,NA,NA
UK,A little above the average,NA,4,3,3,3,4,4,4
UK,A little above the average,2,3,4,2,5,2,2,5
UK,Well above average,3,3,4,3,3,5,5,4
UK,Average,5,3,2,1,2,NA,NA,NA
UK,A little below average,2,1,2,1,1,5,4,4
UK,A little below average,2,2,3,3,4,3,NA,NA
Europe (not UK),A little above the average,1,4,5,5,3,4,4,5
UK,Average,NA,NA,2,1,1,NA,3,3
UK,A little above the average,4,4,4,2,2,NA,2,2
UK,Average,2,1,1,1,4,2,4,2
UK,A little above the average,5,5,5,3,4,NA,2,NA
UK,A little above the average,5,4,1,2,3,2,1,1
Europe (not UK),A little below average,5,NA,3,2,3,3,3,4
UK,A little above the average,3,2,2,3,1,NA,NA,NA
UK,A little below average,2,4,4,5,3,NA,NA,NA
UK,Average,4,3,4,1,3,3,3,2
UK,Average,1,4,4,4,1,1,1,1
UK,Average,1,1,1,2,1,2,4,3
UK,Average,4,NA,NA,NA,NA,NA,NA,NA
UK,Average,4,3,4,4,4,3,NA,3
UK,Average,2,3,4,4,2,4,NA,NA
UK,A little below average,2,1,2,1,3,2,3,2
UK,Average,4,3,3,3,4,1,1,1
UK,Average,2,3,2,2,NA,NA,NA,2
UK,Average,5,3,4,1,2,2,NA,NA
UK,Average,4,4,3,2,2,3,3,3
Europe (not UK),A little below average,4,4,2,3,2,NA,3,3
UK,A little below average,2,2,2,2,3,NA,4,4
UK,Average,3,5,4,3,5,NA,NA,NA
UK,A little below average,4,4,3,4,2,NA,NA,NA
UK,A little below average,1,1,1,1,5,4,4,5
UK,Average,5,NA,3,1,4,3,3,3
UK,Average,2,3,3,3,2,3,4,NA
UK,Average,2,1,1,2,3,1,2,2
UK,Average,NA,NA,3,2,5,5,5,NA
Europe (not UK),A little below average,5,3,5,NA,4,2,1,NA
Europe (not UK),Average,1,1,4,1,4,3,2,5
UK,Average,1,3,2,1,2,5,5,4
UK,A little above the average,2,4,3,1,4,3,5,4
Asia,Average,2,2,NA,NA,NA,2,NA,NA
Asia,Well above average,3,NA,3,4,2,1,1,3
UK,A little above the average,3,2,4,1,1,5,3,NA
UK,Average,4,3,1,1,1,3,4,3
Europe (not UK),Average,5,5,5,4,5,NA,NA,NA
UK,Average,2,3,4,2,3,NA,2,NA
UK,Average,2,2,3,3,3,1,NA,1
UK,Average,3,4,4,2,4,NA,NA,2
UK,Well above average,3,3,5,2,3,NA,NA,NA
UK,A little above the average,3,4,4,3,4,NA,2,3
UK,A little above the average,3,5,5,4,4,NA,NA,NA
UK,Average,2,3,3,4,4,4,5,3
UK,Average,3,3,4,2,4,NA,NA,NA
UK,Average,3,3,4,1,2,NA,NA,1
UK,Average,2,2,4,2,4,2,2,1
UK,Average,3,3,5,2,4,3,4,NA
UK,A little above the average,4,5,5,5,4,4,4,5
UK,A little above the average,1,4,1,1,1,2,4,4
UK,Average,3,4,2,1,3,2,4,3
UK,A little above the average,3,2,5,1,3,4,3,4
UK,A little below average,1,2,1,1,1,2,3,2
UK,Well above average,4,3,3,NA,5,3,4,3
Europe (not UK),A little above the average,3,5,5,2,4,5,NA,NA
UK,A little below average,3,2,5,1,3,NA,4,NA
UK,Average,3,2,4,4,4,1,1,NA
UK,A little above the average,3,3,5,4,4,3,3,5
UK,A little above the average,3,2,5,3,3,NA,NA,NA
Europe (not UK),Average,2,3,4,2,4,NA,NA,NA
UK,Well below average,1,1,2,2,2,1,2,1
Europe (not UK),Well below average,3,2,1,1,4,5,3,5
UK,Average,3,1,1,1,NA,NA,NA,3
UK,Average,1,4,4,2,3,NA,2,2
UK,A little above the average,1,1,2,2,3,1,2,2
UK,A little above the average,3,2,4,1,2,NA,4,1
UK,Average,1,4,3,3,4,NA,NA,NA
Europe (not UK),Average,1,3,4,5,3,3,3,3
UK,Average,4,3,2,3,3,NA,3,3
UK,Well below average,2,2,4,1,NA,NA,2,NA
UK,A little below average,4,4,4,1,2,NA,NA,NA
Asia,Average,4,NA,4,NA,NA,NA,NA,NA
UK,A little above the average,4,4,2,3,4,2,4,3
UK,Average,3,3,4,2,5,NA,NA,NA
Europe (not UK),A little below average,3,2,3,4,1,3,5,NA
UK,A little below average,2,1,3,3,3,NA,4,NA
UK,A little below average,3,NA,4,3,5,NA,3,5
UK,Average,1,5,2,4,4,NA,NA,NA
Asia,Well below average,3,NA,NA,NA,NA,NA,NA,NA
UK,Well below average,3,3,4,2,NA,NA,NA,NA
UK,Average,1,3,3,3,NA,NA,3,NA
UK,A little above the average,5,NA,5,4,5,NA,2,NA
UK,A little above the average,3,4,2,NA,2,NA,4,5
UK,A little above the average,2,2,2,2,2,5,5,4
UK,Average,4,3,4,2,3,NA,NA,NA
UK,Average,1,2,1,3,4,2,4,4
UK,A little above the average,2,3,4,4,NA,NA,NA,NA
UK,Average,1,4,3,4,4,NA,NA,3
UK,Average,3,4,4,1,3,NA,NA,NA
UK,Average,1,2,2,2,3,4,5,1
Asia,Average,3,2,3,1,3,1,1,1
UK,A little above the average,3,2,4,2,3,3,3,3
UK,A little below average,2,1,2,3,5,NA,3,NA
UK,A little below average,3,4,4,3,3,3,2,4
Asia,A little below average,3,3,3,NA,NA,NA,NA,NA
UK,Average,4,3,4,4,4,3,2,2
Europe (not UK),A little below average,1,2,2,1,1,2,5,2
UK,Average,3,5,4,4,4,NA,NA,NA
UK,Average,2,5,5,3,3,1,1,1
UK,Average,2,3,5,3,3,1,1,1
UK,Average,5,2,4,3,5,NA,NA,NA
UK,A little below average,3,5,3,2,4,NA,NA,NA
UK,A little above the average,4,3,2,3,4,3,5,4
UK,Average,3,4,3,2,3,NA,4,3
UK,A little above the average,3,3,3,1,4,3,4,5
UK,A little above the average,2,2,4,4,3,3,3,3
UK,Average,2,1,2,2,2,2,3,2
UK,Average,1,2,4,4,4,NA,NA,NA
Asia,Average,5,5,5,4,4,3,3,3
UK,Average,NA,3,2,2,2,2,4,NA
UK,Well above average,2,3,3,4,1,3,2,4
UK,A little above the average,4,3,4,3,4,2,2,2
Asia,Average,NA,NA,NA,NA,NA,NA,NA,NA
Europe (not UK),A little below average,2,2,4,3,3,5,4,5
Asia,A little below average,5,2,5,NA,4,4,NA,NA
UK,Average,3,4,5,2,4,1,NA,NA
UK,A little above the average,3,5,5,4,4,NA,2,2
Asia,Average,2,2,5,1,5,3,5,5
Europe (not UK),Average,3,4,4,2,3,5,4,3
UK,Average,1,1,1,3,3,4,3,3
UK,Average,2,1,2,1,1,1,3,3
UK,A little above the average,3,4,2,3,1,NA,NA,NA
UK,A little below average,5,5,5,3,3,NA,NA,NA
UK,A little below average,NA,NA,2,1,3,5,3,2
UK,A little above the average,2,2,3,1,2,2,2,3
UK,Average,3,NA,2,1,4,5,5,4
UK,Well above average,3,4,4,5,2,NA,1,1
UK,Average,2,1,2,1,3,2,3,3
UK,A little below average,3,3,3,NA,3,NA,NA,NA
UK,Average,3,2,5,3,4,3,3,5
UK,Average,3,3,3,3,4,4,3,3
UK,Average,3,5,5,5,3,3,3,3
UK,A little below average,2,3,4,2,5,NA,NA,4
UK,A little below average,4,3,5,2,2,NA,2,NA
