ID,maths_skills,stroop_condition,stroop_time
1,Average,control,3.73
1,Average,compatible,3.29
1,Average,incompatible,3.66
2,A little below average,control,6.1000000000000005
2,A little below average,compatible,5.2700000000000005
2,A little below average,incompatible,11.22
3,A little below average,control,6.9
3,A little below average,compatible,4.22
3,A little below average,incompatible,5.57
4,A little below average,control,7
4,A little below average,compatible,3.5
4,A little below average,incompatible,7
5,A little above the average,control,5.88
5,A little above the average,compatible,4.88
5,A little above the average,incompatible,5.6899999999999995
6,A little above the average,control,6.4
6,A little above the average,compatible,4.5
6,A little above the average,incompatible,7.2
8,Average,control,5.29
8,Average,compatible,5.46
8,Average,incompatible,6.199999999999999
9,Average,control,7.3
9,Average,compatible,6.13
9,Average,incompatible,10.65
10,A little above the average,control,7.17
10,A little above the average,compatible,5.859999999999999
10,A little above the average,incompatible,9.37
11,Average,control,5.5
11,Average,compatible,5.9
11,Average,incompatible,8.5
12,A little above the average,control,7.1
12,A little above the average,compatible,9.4
12,A little above the average,incompatible,6.6
13,Average,control,4.6
13,Average,compatible,4.1
13,Average,incompatible,7.3
14,A little below average,control,7.2
14,A little below average,compatible,5.16
14,A little below average,incompatible,7.72
15,Average,control,3.5
15,Average,compatible,3.2
15,Average,incompatible,8
16,Average,control,5.1
16,Average,compatible,3.6
16,Average,incompatible,6.4
17,Average,control,4.8
17,Average,compatible,4.4
17,Average,incompatible,4.6
18,A little above the average,control,3.8
18,A little above the average,compatible,5.7
18,A little above the average,incompatible,5.8
19,Average,control,6.96
19,Average,compatible,5.05
19,Average,incompatible,11.1
20,A little above the average,control,4.59
20,A little above the average,compatible,3.8600000000000003
20,A little above the average,incompatible,5.909999999999999
21,Average,control,3.87
21,Average,compatible,3.17
21,Average,incompatible,5.1499999999999995
22,Average,control,7.22
22,Average,compatible,6.4
22,Average,incompatible,6.2
23,Average,control,5.5
23,Average,compatible,5.2
23,Average,incompatible,6
24,Average,control,2.6
24,Average,compatible,2.2
24,Average,incompatible,5.699999999999999
25,Average,control,6.4
25,Average,compatible,2.6
25,Average,incompatible,6.8
26,A little below average,control,6.1
26,A little below average,compatible,4.5
26,A little below average,incompatible,7.2
27,Average,control,4.4
27,Average,compatible,3.1
27,Average,incompatible,7.5
28,Average,control,5.3
28,Average,compatible,3.8
28,Average,incompatible,7.4
29,A little above the average,control,8.8
29,A little above the average,compatible,4.6
29,A little above the average,incompatible,6.6
30,A little above the average,control,4.1
30,A little above the average,compatible,5.1
30,A little above the average,incompatible,7.6
31,Average,control,4.23
31,Average,compatible,3.58
31,Average,incompatible,4.05
32,Average,control,6
32,Average,compatible,4.23
32,Average,incompatible,8.429999999999998
33,Average,control,6
33,Average,compatible,4.1
33,Average,incompatible,6.5
34,Average,control,5.48
34,Average,compatible,3.7499999999999996
34,Average,incompatible,6.16
35,Average,control,7.8
35,Average,compatible,4.3
35,Average,incompatible,11.4
36,A little above the average,control,4.5
36,A little above the average,compatible,5
36,A little above the average,incompatible,7.1
37,Average,control,4.8
37,Average,compatible,5.6
37,Average,incompatible,7.7
38,Average,control,5
38,Average,compatible,3.2
38,Average,incompatible,6.9
39,A little above the average,control,10.1
39,A little above the average,compatible,4.41
39,A little above the average,incompatible,10.250000000000002
40,Average,control,3.4
40,Average,compatible,3.3
40,Average,incompatible,6.4
41,Average,control,14.9
41,Average,compatible,7.8
41,Average,incompatible,29.8
42,A little below average,control,4.2
42,A little below average,compatible,4.1
42,A little below average,incompatible,5.9
43,Average,control,4.130000000000001
43,Average,compatible,3.71
43,Average,incompatible,5.83
44,Average,control,4.66
44,Average,compatible,3.02
44,Average,incompatible,5.66
45,Average,control,6.9
45,Average,compatible,5.3
45,Average,incompatible,6.2
46,A little below average,control,4.9
46,A little below average,compatible,3.3
46,A little below average,incompatible,8.8
47,A little above the average,control,3.59
47,A little above the average,compatible,3.66
47,A little above the average,incompatible,4.09
48,A little above the average,control,4.4
48,A little above the average,compatible,3.6
48,A little above the average,incompatible,5.2
49,A little below average,control,3.3
49,A little below average,compatible,3.2
49,A little below average,incompatible,3.7
50,Average,control,4.21
50,Average,compatible,3.06
50,Average,incompatible,4.91
51,Average,control,3.4200000000000004
51,Average,compatible,2.51
51,Average,incompatible,4.38
52,Average,control,7.28
52,Average,compatible,6.8999999999999995
52,Average,incompatible,7.85
53,Well below average,control,8.1
53,Well below average,compatible,7.4
53,Well below average,incompatible,5.6
54,Average,control,4
54,Average,compatible,2.6
54,Average,incompatible,4.9
