estimate,identity,fweight,oweight
1278,Female,1278,NA
1114,Female,1114,NA
374.8,Female,374.8,NA
1405,Female,1405,NA
643,Other,NA,643
351,Female,351,NA
690,Female,690,NA
1687,Female,1687,NA
887,Female,887,NA
495,Female,495,NA
475,Female,475,NA
1502,Female,1502,NA
1083,Female,1083,NA
611,Female,611,NA
740,Female,740,NA
393,Female,393,NA
675,Female,675,NA
304,Female,304,NA
466,Female,466,NA
223,Female,223,NA
902,Other,NA,902
208,Female,208,NA
490,Female,490,NA
1520,Other,NA,1520
840,Female,840,NA
295.4,Other,NA,295.4
418,Female,418,NA
1064,Other,NA,1064
399,Other,NA,399
1313,Female,1313,NA
139,Other,NA,139
372,Female,372,NA
411,Female,411,NA
558,Other,NA,558
297,Female,297,NA
666,Other,NA,666
1086,Other,NA,1086
857,Female,857,NA
642,Female,642,NA
739,Female,739,NA
1494,Female,1494,NA
827,Female,827,NA
705,Female,705,NA
424,Female,424,NA
391,Other,NA,391
540,Female,540,NA
856,Female,856,NA
1293,Female,1293,NA
205,Female,205,NA
474,Female,474,NA
2216,Female,2216,NA
720,Female,720,NA
817,Female,817,NA
1089,Female,1089,NA
1096,Female,1096,NA
636,Female,636,NA
330,Other,NA,330
391,Other,NA,391
397,Other,NA,397
877,Female,877,NA
1094,Female,1094,NA
1110,Female,1110,NA
244,Female,244,NA
759,Female,759,NA
465,Female,465,NA
266,Female,266,NA
364,Female,364,NA
199,Female,199,NA
334,Female,334,NA
439,Other,NA,439
566,Female,566,NA
692,Other,NA,692
1432,Female,1432,NA
535,Female,535,NA
555,Female,555,NA
361,Female,361,NA
1361,Other,NA,1361
791,Female,791,NA
578,Female,578,NA
406,Female,406,NA
872,Female,872,NA
1951,Female,1951,NA
698,Other,NA,698
705,Other,NA,705
1758,Female,1758,NA
476,Female,476,NA
1117,Other,NA,1117
396,Female,396,NA
1129,Female,1129,NA
1637,Female,1637,NA
442,Female,442,NA
835,Female,835,NA
283,Female,283,NA
293,Female,293,NA
